"Year","TA","Region","GDP","GDP_real","GDP_perCapita","GDP_real_perCapita","notes"
2009,"Selwyn District","Canterbury",320254202.13137,341975036.275715,8087227326.54976,8635733239.28572,"estimate"
2009,"South Taranaki District","Taranaki",373081055.519711,391872283.596405,13766828616.9635,14460231867.026,"estimate"
2009,"South Waikato District","Waikato",215089030.3084,228954703.713042,9311213433.26408,9911459035.19664,"estimate"
2009,"South Wairarapa District","Wellington",54944268.0585574,58791757.6163082,5845134899.84654,6254442299.60725,"estimate"
2009,"Southland District","Southland",394118995.847369,416680757.268211,13359965960.9278,14124771432.8207,"estimate"
2009,"Stratford District","Manawatu-Wanganui",21766671.0537183,23330206.9107334,2384082262.18164,2555334820.45272,"estimate"
2009,"Stratford District","Taranaki",46531164.1398811,49813700.4122226,5096513049.27503,5456046047.34092,"estimate"
2009,"Tararua District","Manawatu-Wanganui",129743655.455873,138184430.100748,7330150025.75552,7807029949.1948,"estimate"
2009,"Tararua District","Wellington",2082819.829419,2220085.14342967,117673436.690339,125428539.176817,"estimate"
2009,"Tasman District","Tasman",403171591.868736,429161044.441123,8596409208.28862,9150555318.57405,"estimate"
2009,"Taupo District","Bay of Plenty",51734794.321998,55105260.9400591,1530615216.62716,1630333163.90707,"estimate"
2009,"Taupo District","Hawke's Bay",40707886.9118851,43353921.1587043,1204375352.42264,1282660389.31078,"estimate"
2009,"Taupo District","Manawatu-Wanganui",2494474.7847662,2656546.56440104,73801029.1350947,78596052.2012142,"estimate"
2009,"Taupo District","Waikato",266596041.560354,283992402.639078,7887456850.89806,8402142089.91354,"estimate"
2009,"Tauranga City","Bay of Plenty",1351947576.90606,1438793729.47699,11921936304.2862,12687775392.2133,"estimate"
2009,"Thames-Coromandel District","Waikato",227550797.025545,241598404.845969,8459137435.89385,8981353339.99885,"estimate"
2009,"Timaru District","Canterbury",560948273.583781,593156310.65593,12691137411.3978,13419826032.9396,"estimate"
2009,"Upper Hutt City","Wellington",235127351.615893,249663347.533597,5819983950.88844,6179785830.03954,"estimate"
2009,"Waikato District","Waikato",327243510.46081,349500418.558333,5194341435.88588,5547625691.40211,"estimate"
2009,"Waimakariri District","Canterbury",213856542.328942,227375201.486307,4559840987.82393,4848085319.53745,"estimate"
2009,"Waimate District","Canterbury",46257806.1268304,49777476.9318731,6151304006.22745,6619345336.68526,"estimate"
