Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Hurunui district","Sep-08",28974700,
"Total earnings","Selwyn district","Sep-08",114586200,
"Total earnings","Christchurch city (modified)","Sep-08",2017343800,
"Total earnings","Ashburton district","Sep-08",131661600,
"Total earnings","Waimate district","Sep-08",18666000,
"Total earnings","Timaru district","Sep-08",194323600,
"Total earnings","Central Otago district","Sep-08",73586500,
"Total earnings","Waitaki district","Sep-08",76489700,
"Total earnings","Mackenzie district","Sep-08",13614500,
"Total earnings","Dunedin city","Sep-08",561674300,
"Total earnings","Queenstown-Lakes district","Sep-08",145225100,
"Total earnings","Invercargill city","Sep-08",245150100,
"Total earnings","Southland district","Sep-08",113533700,
"Total earnings","Clutha district","Sep-08",63785300,
"Total earnings","Gore district","Sep-08",48195000,
"Total earnings","Clutha district","Jun-08",65150000,
"Total earnings","Southland district","Jun-08",131521600,
"Total earnings","Invercargill city","Jun-08",237981600,
"Total earnings","Gore district","Jun-08",57853900,
"Total earnings","Queenstown-Lakes district","Jun-08",131980400,
"Total earnings","Dunedin city","Jun-08",548835300,
"Total earnings","Waitaki district","Jun-08",83611400,
"Total earnings","Central Otago district","Jun-08",72148600,
"Total earnings","Timaru district","Jun-08",192379400,
"Total earnings","Waimate district","Jun-08",16986800,
"Total earnings","Mackenzie district","Jun-08",13080900,
"Total earnings","Ashburton district","Jun-08",129135000,
"Total earnings","Selwyn district","Jun-08",112766000,
"Total earnings","Christchurch city (modified)","Jun-08",1976863900,
"Total earnings","Hurunui district","Jun-08",28013400,
"Total earnings","Waimakariri district","Jun-08",86863700,
"Total earnings","Westland district","Jun-08",28637400,
"Total earnings","Grey district","Jun-08",66529800,
"Total earnings","Marlborough district","Jun-08",198609700,
"Total earnings","Nelson city","Jun-08",235288600,
"Total earnings","Kaikoura district","Jun-08",11594800,
"Total earnings","Buller district","Jun-08",41725400,
"Total earnings","South Wairarapa district","Jun-08",20829700,
"Total earnings","Tasman district","Jun-08",145272300,
"Total earnings","Carterton district","Jun-08",21605800,
"Total earnings","Masterton district","Jun-08",84505700,
"Total earnings","Porirua city","Jun-08",159297900,
"Total earnings","Lower Hutt city","Jun-08",483277000,
"Total earnings","Wellington city","Jun-08",1911492500,
"Total earnings","Upper Hutt city","Jun-08",112102300,
"Total earnings","Horowhenua district","Jun-08",73322500,
"Total earnings","Kapiti Coast district","Jun-08",99830200,
"Total earnings","Tararua district","Jun-08",51652600,
"Total earnings","Palmerston North city","Jun-08",457641200,
"Total earnings","Ruapehu district (modified)","Jun-08",52571900,
"Total earnings","Rangitikei district (modified)","Jun-08",46391800,
"Total earnings","Manawatu district","Jun-08",74385400,
"Total earnings","Stratford district","Jun-08",24478000,
"Total earnings","South Taranaki district","Jun-08",112989400,
"Total earnings","Wanganui district","Jun-08",166953300,
"Total earnings","New Plymouth district","Jun-08",360243400,
"Total earnings","Central Hawke's Bay district","Jun-08",46568000,
"Total earnings","Hastings district (modified)","Jun-08",346160400,
"Total earnings","Napier city","Jun-08",217954700,
"Total earnings","Gisborne district","Jun-08",164189200,
"Total earnings","Wairoa district","Jun-08",28647600,
"Total earnings","Kawerau district","Jun-08",46014400,
"Total earnings","Opotiki district","Jun-08",25067200,
"Total earnings","Tauranga city","Jun-08",479436100,
"Total earnings","Rotorua district","Jun-08",280678800,
"Total earnings","Whakatane district (modified)","Jun-08",118242900,
"Total earnings","Western Bay of Plenty district","Jun-08",134358600,
"Total earnings","Taupo district (modified)","Jun-08",127346300,
"Total earnings","Waitomo district (modified)","Jun-08",39880500,
"Total earnings","Waipa district","Jun-08",132318600,
"Total earnings","Hamilton city","Jun-08",806024600,
"Total earnings","Otorohanga district","Jun-08",31447500,
"Total earnings","South Waikato district","Jun-08",79044200,
"Total earnings","Manukau city","Jun-08",1478606700,
"Total earnings","Auckland city","Jun-08",4130671500,
"Total earnings","Waitakere city","Jun-08",474640000,
"Total earnings","North Shore city","Jun-08",965608200,
"Total earnings","Rodney district","Jun-08",220453000,
"Total earnings","Kaipara district","Jun-08",43685700,
"Total earnings","Whangarei district","Jun-08",315052400,
"Total earnings","Papakura district","Jun-08",170399500,
"Total earnings","Franklin district","Jun-08",183121000,
"Total earnings","Hauraki district","Jun-08",46875800,
"Total earnings","Thames-Coromandel district","Jun-08",78669600,
"Total earnings","Waikato district","Jun-08",124685800,
"Total earnings","Matamata-Piako district","Jun-08",124524400,
"Total earnings","Matamata-Piako district","Mar-08",122704200,
"Total earnings","Waikato district","Mar-08",118122600,
"Total earnings","Thames-Coromandel district","Mar-08",80991900,
"Total earnings","Hauraki district","Mar-08",45577600,
"Total earnings","Franklin district","Mar-08",184527800,
"Total earnings","Papakura district","Mar-08",160875600,
"Total earnings","Whangarei district","Mar-08",299255800,
"Total earnings","Kaipara district","Mar-08",41473500,
"Total earnings","Rodney district","Mar-08",215163400,
"Total earnings","North Shore city","Mar-08",936404100,
"Total earnings","Waitakere city","Mar-08",457408400,
"Total earnings","Auckland city","Mar-08",3990056400,
"Total earnings","Manukau city","Mar-08",1391384000,
"Total earnings","South Waikato district","Mar-08",79728500,
"Total earnings","Otorohanga district","Mar-08",29298300,
"Total earnings","Hamilton city","Mar-08",759225800,
"Total earnings","Waipa district","Mar-08",128660800,
"Total earnings","Waitomo district (modified)","Mar-08",38129900,
"Total earnings","Taupo district (modified)","Mar-08",122969000,
"Total earnings","Western Bay of Plenty district","Mar-08",100596000,
"Total earnings","Whakatane district (modified)","Mar-08",107320000,
"Total earnings","Rotorua district","Mar-08",276220300,
"Total earnings","Tauranga city","Mar-08",460909800,
"Total earnings","Opotiki district","Mar-08",20461100,
"Total earnings","Kawerau district","Mar-08",46764400,
"Total earnings","Wairoa district","Mar-08",29341800,
"Total earnings","Gisborne district","Mar-08",161346000,
"Total earnings","Napier city","Mar-08",214743500,
"Total earnings","Hastings district (modified)","Mar-08",340610200,
"Total earnings","Central Hawke's Bay district","Mar-08",44888100,
"Total earnings","New Plymouth district","Mar-08",347682700,
"Total earnings","Stratford district","Mar-08",22793100,
"Total earnings","Wanganui district","Mar-08",158729600,
"Total earnings","South Taranaki district","Mar-08",123197300,
"Total earnings","Manawatu district","Mar-08",75038800,
"Total earnings","Rangitikei district (modified)","Mar-08",48121900,
"Total earnings","Ruapehu district (modified)","Mar-08",53466900,
"Total earnings","Palmerston North city","Mar-08",443374400,
"Total earnings","Tararua district","Mar-08",51771900,
"Total earnings","Kapiti Coast district","Mar-08",97627100,
"Total earnings","Horowhenua district","Mar-08",69277200,
"Total earnings","Upper Hutt city","Mar-08",109850800,
"Total earnings","Wellington city","Mar-08",1796639400,
"Total earnings","Lower Hutt city","Mar-08",464236700,
"Total earnings","Porirua city","Mar-08",151488200,
"Total earnings","Masterton district","Mar-08",86027700,
"Total earnings","Carterton district","Mar-08",21663700,
"Total earnings","Tasman district","Mar-08",142448900,
"Total earnings","South Wairarapa district","Mar-08",20853900,
"Total earnings","Buller district","Mar-08",40297900,
"Total earnings","Kaikoura district","Mar-08",12339500,
"Total earnings","Nelson city","Mar-08",221680600,
"Total earnings","Marlborough district","Mar-08",190394100,
"Total earnings","Grey district","Mar-08",64133300,
"Total earnings","Westland district","Mar-08",30028800,
"Total earnings","Waimakariri district","Mar-08",84152000,
"Total earnings","Hurunui district","Mar-08",28776000,
"Total earnings","Christchurch city (modified)","Mar-08",1894178900,
"Total earnings","Selwyn district","Mar-08",110285400,
"Total earnings","Ashburton district","Mar-08",124764100,
"Total earnings","Mackenzie district","Mar-08",14350400,
"Total earnings","Waimate district","Mar-08",16765700,
"Total earnings","Timaru district","Mar-08",181856600,
"Total earnings","Central Otago district","Mar-08",76775100,
"Total earnings","Waitaki district","Mar-08",77576900,
"Total earnings","Dunedin city","Mar-08",523840400,
"Total earnings","Queenstown-Lakes district","Mar-08",131025900,
"Total earnings","Gore district","Mar-08",53989000,
"Total earnings","Invercargill city","Mar-08",233891300,
"Total earnings","Southland district","Mar-08",133096600,
"Total earnings","Clutha district","Mar-08",65602900,
"Total earnings","Southland district","Dec-07",117919500,
"Total earnings","Invercargill city","Dec-07",240956800,
"Total earnings","Gore district","Dec-07",49703100,
"Total earnings","Clutha district","Dec-07",62066300,
"Total earnings","Dunedin city","Dec-07",558719300,
"Total earnings","Queenstown-Lakes district","Dec-07",132822100,
"Total earnings","Waitaki district","Dec-07",77180000,
"Total earnings","Central Otago district","Dec-07",71813200,
"Total earnings","Timaru district","Dec-07",182258400,
"Total earnings","Waimate district","Dec-07",18259500,
"Total earnings","Mackenzie district","Dec-07",13386400,
"Total earnings","Ashburton district","Dec-07",122899000,
"Total earnings","Selwyn district","Dec-07",114919400,
"Total earnings","Christchurch city (modified)","Dec-07",2017002100,
"Total earnings","Hurunui district","Dec-07",27708100,
"Total earnings","Waimakariri district","Dec-07",87023500,
"Total earnings","Westland district","Dec-07",29587800,
"Total earnings","Grey district","Dec-07",64845200,
"Total earnings","Marlborough district","Dec-07",192201400,
"Total earnings","Buller district","Dec-07",38703200,
"Total earnings","Kaikoura district","Dec-07",11887700,
"Total earnings","South Wairarapa district","Dec-07",20947400,
"Total earnings","Tasman district","Dec-07",136670700,
"Total earnings","Nelson city","Dec-07",229774500,
"Total earnings","Carterton district","Dec-07",22446000,
"Total earnings","Masterton district","Dec-07",89260600,
"Total earnings","Lower Hutt city","Dec-07",495595000,
"Total earnings","Wellington city","Dec-07",1948834200,
"Total earnings","Upper Hutt city","Dec-07",114380000,
"Total earnings","Porirua city","Dec-07",159597500,
"Total earnings","Horowhenua district","Dec-07",74225600,
"Total earnings","Kapiti Coast district","Dec-07",100900200,
"Total earnings","Tararua district","Dec-07",52262800,
"Total earnings","Palmerston North city","Dec-07",452130700,
"Total earnings","Rangitikei district (modified)","Dec-07",49254500,
"Total earnings","Manawatu district","Dec-07",75014600,
"Total earnings","South Taranaki district","Dec-07",123792000,
"Total earnings","Wanganui district","Dec-07",166839700,
"Total earnings","Ruapehu district (modified)","Dec-07",56479800,
"Total earnings","Stratford district","Dec-07",22820400,
"Total earnings","New Plymouth district","Dec-07",352088300,
"Total earnings","Central Hawke's Bay district","Dec-07",44707500,
"Total earnings","Hastings district (modified)","Dec-07",335616000,
"Total earnings","Napier city","Dec-07",222918900,
"Total earnings","Gisborne district","Dec-07",169117900,
"Total earnings","Wairoa district","Dec-07",28303700,
"Total earnings","Kawerau district","Dec-07",47185400,
"Total earnings","Opotiki district","Dec-07",21271600,
"Total earnings","Tauranga city","Dec-07",481757400,
"Total earnings","Rotorua district","Dec-07",298582400,
"Total earnings","Whakatane district (modified)","Dec-07",110217300,
"Total earnings","Western Bay of Plenty district","Dec-07",103602700,
"Total earnings","Taupo district (modified)","Dec-07",130948700,
"Total earnings","Waitomo district (modified)","Dec-07",39017000,
"Total earnings","Waipa district","Dec-07",137125800,
"Total earnings","Hamilton city","Dec-07",817157700,
"Total earnings","Otorohanga district","Dec-07",33521800,
"Total earnings","South Waikato district","Dec-07",83814900,
"Total earnings","Manukau city","Dec-07",1499573200,
"Total earnings","Waitakere city","Dec-07",493806500,
"Total earnings","Auckland city","Dec-07",4201680700,
"Total earnings","North Shore city","Dec-07",987988500,
"Total earnings","Rodney district","Dec-07",227322400,
"Total earnings","Kaipara district","Dec-07",43578900,
"Total earnings","Whangarei district","Dec-07",314925900,
"Total earnings","Papakura district","Dec-07",172592400,
"Total earnings","Franklin district","Dec-07",187862400,
"Total earnings","Thames-Coromandel district","Dec-07",83381400,
"Total earnings","Hauraki district","Dec-07",47083500,
"Total earnings","Waikato district","Dec-07",129622800,
"Total earnings","Matamata-Piako district","Dec-07",124492400,
"Total earnings","Matamata-Piako district","Sep-07",122872000,
"Total earnings","Waikato district","Sep-07",112335800,
"Total earnings","Hauraki district","Sep-07",43328600,
"Total earnings","Thames-Coromandel district","Sep-07",74239200,
