Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Kawerau district","Sep-12",41081900,
"Total earnings","Opotiki district","Sep-12",26512300,
"Total earnings","Whakatane district (modified)","Sep-12",133766000,
"Total earnings","Tauranga city","Sep-12",543276000,
"Total earnings","Western Bay of Plenty district","Sep-12",116929800,
"Total earnings","Rotorua district","Sep-12",310263100,
"Total earnings","Taupo district (modified)","Sep-12",143398400,
"Total earnings","Waitomo district (modified)","Sep-12",38639000,
"Total earnings","South Waikato district","Sep-12",85108200,
"Total earnings","Otorohanga district","Sep-12",35150500,
"Total earnings","Waipa district","Sep-12",161465600,
"Total earnings","Waikato district","Sep-12",170244600,
"Total earnings","Hamilton city","Sep-12",929330000,
"Total earnings","Matamata-Piako district","Sep-12",139519400,
"Total earnings","Thames-Coromandel district","Sep-12",76144800,
"Total earnings","Hauraki district","Sep-12",56585000,
"Total earnings","Kaipara district","Sep-12",46115200,
"Total earnings","Auckland","Sep-12",8719031000,
"Total earnings","Whangarei district","Sep-12",340168900,
"Total earnings","Carterton district","Sep-12",24866400,
"Total earnings","Lower Hutt city","Sep-12",518986400,
"Total earnings","Porirua city","Sep-12",167940500,
"Total earnings","Tasman district","Sep-12",158042000,
"Total earnings","Masterton district","Sep-12",93824100,
"Total earnings","Marlborough district","Sep-12",206630400,
"Total earnings","South Wairarapa district","Sep-12",27156600,
"Total earnings","Nelson city","Sep-12",260086800,
"Total earnings","Westland district","Sep-12",34297400,
"Total earnings","Kaikoura district","Sep-12",12032900,
"Total earnings","Buller district","Sep-12",61480000,
"Total earnings","Waimakariri district","Sep-12",116346600,
"Total earnings","Grey district","Sep-12",81704700,
"Total earnings","Selwyn district","Sep-12",158455200,
"Total earnings","Hurunui district","Sep-12",35341800,
"Total earnings","Christchurch city (modified)","Sep-12",2198631300,
"Total earnings","Waimate district","Sep-12",21825200,
"Total earnings","Ashburton district","Sep-12",162572300,
"Total earnings","Timaru district","Sep-12",217094100,
"Total earnings","Central Otago district","Sep-12",80862700,
"Total earnings","Mackenzie district","Sep-12",16405300,
"Total earnings","Dunedin city","Sep-12",579512500,
"Total earnings","Waitaki district","Sep-12",95167300,
"Total earnings","Queenstown-Lakes district","Sep-12",162438100,
"Total earnings","Invercargill city","Sep-12",269767400,
"Total earnings","Clutha district","Sep-12",73347900,
"Total earnings","Southland district","Sep-12",133745800,
"Total earnings","Gore district","Sep-12",56579900,
"Total earnings","Southland district","Jun-12",151732300,
"Total earnings","Gore district","Jun-12",61193700,
"Total earnings","Invercargill city","Jun-12",269936600,
"Total earnings","Clutha district","Jun-12",74638400,
"Total earnings","Queenstown-Lakes district","Jun-12",148367600,
"Total earnings","Dunedin city","Jun-12",583527200,
"Total earnings","Waitaki district","Jun-12",100525500,
"Total earnings","Central Otago district","Jun-12",79031500,
"Total earnings","Timaru district","Jun-12",216342900,
"Total earnings","Mackenzie district","Jun-12",16448600,
"Total earnings","Waimate district","Jun-12",21019600,
"Total earnings","Ashburton district","Jun-12",161542600,
"Total earnings","Christchurch city (modified)","Jun-12",2162628000,
"Total earnings","Selwyn district","Jun-12",152136000,
"Total earnings","Hurunui district","Jun-12",35191800,
"Total earnings","Waimakariri district","Jun-12",114501300,
"Total earnings","Buller district","Jun-12",61976300,
"Total earnings","Grey district","Jun-12",80924900,
"Total earnings","Westland district","Jun-12",34047700,
"Total earnings","Kaikoura district","Jun-12",12864400,
"Total earnings","Nelson city","Jun-12",259491500,
"Total earnings","Marlborough district","Jun-12",208293900,
"Total earnings","South Wairarapa district","Jun-12",26255900,
"Total earnings","Tasman district","Jun-12",170601000,
"Total earnings","Porirua city","Jun-12",161742800,
"Total earnings","Lower Hutt city","Jun-12",516353400,
"Total earnings","Masterton district","Jun-12",97295300,
"Total earnings","Carterton district","Jun-12",25046200,
"Total earnings","Whangarei district","Jun-12",340603800,
"Total earnings","Auckland","Jun-12",8591265100,
"Total earnings","Kaipara district","Jun-12",48501900,
"Total earnings","Hauraki district","Jun-12",56339100,
"Total earnings","Thames-Coromandel district","Jun-12",77330300,
"Total earnings","Matamata-Piako district","Jun-12",140232300,
"Total earnings","Hamilton city","Jun-12",918435300,
"Total earnings","Waikato district","Jun-12",165014400,
"Total earnings","Waipa district","Jun-12",161587300,
"Total earnings","Otorohanga district","Jun-12",34071100,
"Total earnings","South Waikato district","Jun-12",86882500,
"Total earnings","Waitomo district (modified)","Jun-12",41125700,
"Total earnings","Taupo district (modified)","Jun-12",137245000,
"Total earnings","Rotorua district","Jun-12",307634000,
"Total earnings","Western Bay of Plenty district","Jun-12",147133000,
"Total earnings","Tauranga city","Jun-12",542009100,
"Total earnings","Whakatane district (modified)","Jun-12",140878000,
"Total earnings","Opotiki district","Jun-12",29444100,
"Total earnings","Kawerau district","Jun-12",42288600,
"Total earnings","Wairoa district","Jun-12",26385000,
"Total earnings","Hastings district (modified)","Jun-12",383963200,
"Total earnings","Gisborne district","Jun-12",178364000,
"Total earnings","Napier city","Jun-12",237284600,
"Total earnings","Central Hawke's Bay district","Jun-12",50835500,
"Total earnings","Stratford district","Jun-12",26460800,
"Total earnings","New Plymouth district","Jun-12",422582500,
"Total earnings","South Taranaki district","Jun-12",139432300,
"Total earnings","Wanganui district","Jun-12",174877100,
"Total earnings","Ruapehu district (modified)","Jun-12",50176900,
"Total earnings","Manawatu district","Jun-12",78462300,
"Total earnings","Palmerston North city","Jun-12",516245600,
"Total earnings","Rangitikei district (modified)","Jun-12",47453700,
"Total earnings","Tararua district","Jun-12",51562100,
"Total earnings","Horowhenua district","Jun-12",72944100,
"Total earnings","Kapiti Coast district","Jun-12",103639400,
"Total earnings","Upper Hutt city","Jun-12",123639600,
"Total earnings","Wellington city","Jun-12",2093810300,
"Total earnings","Wellington city","Mar-12",2078405500,
"Total earnings","Upper Hutt city","Mar-12",119958800,
"Total earnings","Kapiti Coast district","Mar-12",102519200,
"Total earnings","Horowhenua district","Mar-12",70206800,
"Total earnings","Porirua city","Mar-12",160953200,
"Total earnings","Tararua district","Mar-12",52166700,
"Total earnings","Rangitikei district (modified)","Mar-12",46846500,
"Total earnings","Palmerston North city","Mar-12",494127300,
"Total earnings","Manawatu district","Mar-12",74920600,
